STATE/UT,Litrecy2001,Litrecy2011,Population2001,Population2011,Poverty2004,Poverty2011,PovertyDecrease,Area (km2),Unemp%2004,Unemp%2010
A & N islands,81.3,86.63,356000,380000,30.93,19.086666666666662,11.843333333333334,8249,7.5,8.2
Andhra Pradesh,60.47,67.02,76210000,84666000,29.9,9.2,20.7,162975,2.15,2.15
Arunachal Pradesh,54.34,65.38,1098000,1383000,31.1,34.7,-3.6,83743,1.05,2.35
Assam,63.25,72.19,26656000,31169000,34.4,32.0,2.4,78438,4.9,4.55
Bihar,47.0,61.8,82999000,103805000,54.4,33.7,20.7,94163,3.95,4.65
Chandigarh,81.94,86.05,901000,1055000,30.93,19.086666666666662,11.843333333333334,114,3.3,14.049999999999999
Chhattisgarh,64.66,70.28,20834000,25540000,49.4,39.9,9.5,135192,2.05,1.75
D & N Haveli,57.63,76.24,220000,343000,30.93,19.086666666666662,11.843333333333334,603,3.15,5.05
Daman & Diu,78.18,87.1,158000,243000,30.93,19.086666666666662,11.843333333333334,603,1.65,3.2
Delhi,81.67,86.21,13851000,16753000,13.1,9.9,3.2,1484,3.3499999999999996,2.15
Goa,82.01,88.7,1348000,1458000,25.0,5.1,19.9,3702,9.899999999999999,4.4
Gujarat,69.14,78.03,50671000,60384000,31.8,16.6,15.2,196024,1.45,1.3
Haryana,67.91,75.55,21145000,25353000,24.1,11.2,12.9,44212,3.1,2.15
Himachal Pradesh,76.48,82.8,6078000,6857000,22.9,8.1,14.8,55673,2.8,3.25
Jammu and Kashmir,55.52,67.16,10144000,12549000,13.2,10.4,2.8,42241,3.2,4.25
Jharkhand,53.56,66.41,26946000,32966000,45.3,37.0,8.3,79716,3.95,5.1
Karnataka,66.06,75.36,52851000,61131000,33.4,20.9,12.5,191791,1.75,1.6
Kerala,90.86,94.0,31841000,33388000,19.7,7.1,12.6,38863,13.149999999999999,7.4
Lakshadweep,86.66,91.85,61000,64429,30.93,19.086666666666662,11.843333333333334,32,16.25,7.699999999999999
Madhya Pradesh,63.74,69.32,60348000,72598000,48.6,31.7,16.9,308252,1.65,1.7999999999999998
Maharashtra,76.84,82.34,96879000,112373000,38.1,17.4,20.7,307713,2.3,1.9000000000000001
Manipur,70.5,76.94,2294000,2722000,38.0,36.9,1.1,22327,3.3,4.3
Meghalya,62.56,74.43,2319000,2964000,16.1,11.9,4.2,22429,1.9,2.75
Mizoram,88.8,91.33,889000,1091000,15.3,20.4,-5.1,21081,1.0999999999999999,2.05
Nagaland,66.59,79.55,1990000,1981000,9.0,18.9,-9.9,16579,3.65,9.899999999999999
Odisha,63.08,72.87,36805000,41947000,57.2,32.6,24.6,155707,9.2,3.6
Puducherry,81.24,85.85,974000,1244000,14.1,9.7,4.4,479,7.55,3.05
Punjab,69.65,75.84,24359000,27704000,20.9,8.3,12.6,50362,4.4,3.7
Rajasthan,60.41,66.11,56507000,68621000,34.4,14.7,19.7,342239,1.7999999999999998,1.3
Sikkim,68.81,81.42,541000,608000,31.1,8.2,22.9,7096,3.05,2.15
Tamil Nadu,73.45,80.33,62405679,72138958,28.9,11.3,17.6,130058,2.35,2.35
Tripura,73.19,80.09,3199000,3671000,40.6,14.1,26.5,10491,20.65,13.15
Uttar Pradesh,56.27,67.68,166198000,199581000,40.9,29.4,11.5,240928,1.95,1.95
Uttarakhand,71.62,78.82,8489000,10117000,32.7,11.3,21.4,53483,3.35,2.25
West Bengal,68.64,76.26,80176000,91348000,34.3,20.0,14.3,88752,4.35,2.95
